Item Label;Description;alias;instance of;P1:string;P69:string;P44:wikibase-item;P33:quantity;P64:wikibase-item;P27:wikibase-item;P32:time;P49:wikibase-item;P50:wikibase-item;P52:wikibase-item;P56:wikibase-item;P55:wikibase-item;P59:wikibase-item;P57:wikibase-item;P65:wikibase-item;P58:wikibase-item;P60:wikibase-item;P54:wikibase-item;P53:wikibase-item;P51:string;P61:wikibase-itemPQ62-Cousin;P61:wikibase-itemPQ62-Grandchild;P61:wikibase-itemPQ62-Nephew;P61:wikibase-itemPQ62-Uncle;P61:wikibase-itemPQ62-Grandfather;P61:wikibase-itemPQ62-Grandmother;P61:wikibase-itemPQ62-Sibling-in-law;P61:wikibase-itemPQ62-Father-in-law;P61:wikibase-itemPQ62-Son-in-law;P66:string;P67:string;P28:wikibase-item;P6:wikibase-item;P5:wikibase-item;P43:wikibase-item;P19:wikibase-item;P18:wikibase-item;P17:wikibase-item;P12:wikibase-itemPQ13-Witness;P12:wikibase-itemPQ13-Notary;P12:wikibase-itemPQ13-Judge;P12:wikibase-itemPQ13-PartyA;P12:wikibase-itemPQ13-PartyB;P15:wikibase-item;P37:wikibase-item;P35:wikibase-item;P46:wikibase-item
AMSPO-D91_Properties;Instance of Site;;Q27;;;;;;La_Traviesa|Entretaranos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMSPO-D92_Properties;Instance of Site;;Q27;;;;;;Tambo_ería;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMSPO-D93_Properties;Instance of Site;;Q27;;;;;;Sienra_de_Perediella_ería;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMSPO-D94_Properties;Instance of Site;;Q27;;;;;;Borondes|La_Pedrosa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMSPO-D95_Properties;Instance of Site;;Q27;;;;;;Las_Vallinas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMSPO-D96_Properties;Instance of Site;;Q27;;;;;;La_Boruliega;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMSPO-D97_Properties;Instance of Site;;Q27;;;;;;Borondes|Vallongo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMSPO-D98_Properties;Instance of Site;;Q27;;;;;;Traspiñera_ería;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMSPO-D99_Properties;Instance of Site;;Q27;;;;;;Las_Pevidas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMSPO-D9_1_Properties;Instance of Site;;Q27;;;;;;La_Ponte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMSPO-D9_2_Properties;Instance of Site;;Q27;;;;;;La_Pevida;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1297-11-04;Instance of TimeSpan;;Q2;;;;;;;1297-11-04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1326-09-29;Instance of TimeSpan;;Q2;;;;;;;1326-09-29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1326-12-14;Instance of TimeSpan;;Q2;;;;;;;1326-12-14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1327-01-03;Instance of TimeSpan;;Q2;;;;;;;1327-01-03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1327-01-09;Instance of TimeSpan;;Q2;;;;;;;1327-01-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1327-01-26;Instance of TimeSpan;;Q2;;;;;;;1327-01-26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1327-05-02;Instance of TimeSpan;;Q2;;;;;;;1327-05-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1327-09-04;Instance of TimeSpan;;Q2;;;;;;;1327-09-04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1327-09-18;Instance of TimeSpan;;Q2;;;;;;;1327-09-18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1327-10-16;Instance of TimeSpan;;Q2;;;;;;;1327-10-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1328-01-12;Instance of TimeSpan;;Q2;;;;;;;1328-01-12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1328-02-29;Instance of TimeSpan;;Q2;;;;;;;1328-02-29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1328-11-11;Instance of TimeSpan;;Q2;;;;;;;1328-11-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1328-11-13;Instance of TimeSpan;;Q2;;;;;;;1328-11-13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1329-01-11;Instance of TimeSpan;;Q2;;;;;;;1329-01-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1329-03-06;Instance of TimeSpan;;Q2;;;;;;;1329-03-06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1329-04-29;Instance of TimeSpan;;Q2;;;;;;;1329-04-29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1329-06-03;Instance of TimeSpan;;Q2;;;;;;;1329-06-03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1329-06-08;Instance of TimeSpan;;Q2;;;;;;;1329-06-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1329-06-18;Instance of TimeSpan;;Q2;;;;;;;1329-06-18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1329-07-30;Instance of TimeSpan;;Q2;;;;;;;1329-07-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1329-09-07;Instance of TimeSpan;;Q2;;;;;;;1329-09-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1329-09-19;Instance of TimeSpan;;Q2;;;;;;;1329-09-19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1330-06-06;Instance of TimeSpan;;Q2;;;;;;;1330-06-06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1330-08-18;Instance of TimeSpan;;Q2;;;;;;;1330-08-18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1330-11-19;Instance of TimeSpan;;Q2;;;;;;;1330-11-19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1331-01-10;Instance of TimeSpan;;Q2;;;;;;;1331-01-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1331-02-10;Instance of TimeSpan;;Q2;;;;;;;1331-02-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1332-04-21;Instance of TimeSpan;;Q2;;;;;;;1332-04-21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1332-11-10;Instance of TimeSpan;;Q2;;;;;;;1332-11-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1332-11-22;Instance of TimeSpan;;Q2;;;;;;;1332-11-22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1332-12-06;Instance of TimeSpan;;Q2;;;;;;;1332-12-06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1333-03-09;Instance of TimeSpan;;Q2;;;;;;;1333-03-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1333-03-27;Instance of TimeSpan;;Q2;;;;;;;1333-03-27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1333-04-11;Instance of TimeSpan;;Q2;;;;;;;1333-04-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1333-05-16;Instance of TimeSpan;;Q2;;;;;;;1333-05-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1333-06-09;Instance of TimeSpan;;Q2;;;;;;;1333-06-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1333-07-19;Instance of TimeSpan;;Q2;;;;;;;1333-07-19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1333-07-29;Instance of TimeSpan;;Q2;;;;;;;1333-07-29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1333-08-02;Instance of TimeSpan;;Q2;;;;;;;1333-08-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1333-08-08;Instance of TimeSpan;;Q2;;;;;;;1333-08-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1334-05-17;Instance of TimeSpan;;Q2;;;;;;;1334-05-17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1334-11-06;Instance of TimeSpan;;Q2;;;;;;;1334-11-06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1334-12-08;Instance of TimeSpan;;Q2;;;;;;;1334-12-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1335-01-30;Instance of TimeSpan;;Q2;;;;;;;1335-01-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1335-02-27;Instance of TimeSpan;;Q2;;;;;;;1335-02-27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1335-06-05;Instance of TimeSpan;;Q2;;;;;;;1335-06-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1336-06-05;Instance of TimeSpan;;Q2;;;;;;;1336-06-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1336-06-30;Instance of TimeSpan;;Q2;;;;;;;1336-06-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1337-01-09;Instance of TimeSpan;;Q2;;;;;;;1337-01-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1337-05-18;Instance of TimeSpan;;Q2;;;;;;;1337-05-18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1338-06-21;Instance of TimeSpan;;Q2;;;;;;;1338-06-21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1339-03-25;Instance of TimeSpan;;Q2;;;;;;;1339-03-25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1340-07-17;Instance of TimeSpan;;Q2;;;;;;;1340-07-17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1340-12-17;Instance of TimeSpan;;Q2;;;;;;;1340-12-17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1340-12-22;Instance of TimeSpan;;Q2;;;;;;;1340-12-22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1341-01-21;Instance of TimeSpan;;Q2;;;;;;;1341-01-21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1341-01-27;Instance of TimeSpan;;Q2;;;;;;;1341-01-27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1341-05-28;Instance of TimeSpan;;Q2;;;;;;;1341-05-28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1341-09-22;Instance of TimeSpan;;Q2;;;;;;;1341-09-22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1341-11-11;Instance of TimeSpan;;Q2;;;;;;;1341-11-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1342-04-19;Instance of TimeSpan;;Q2;;;;;;;1342-04-19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1342-06-08;Instance of TimeSpan;;Q2;;;;;;;1342-06-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1342-12-21;Instance of TimeSpan;;Q2;;;;;;;1342-12-21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1342-12-27;Instance of TimeSpan;;Q2;;;;;;;1342-12-27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1343-02-27;Instance of TimeSpan;;Q2;;;;;;;1343-02-27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1343-05-21;Instance of TimeSpan;;Q2;;;;;;;1343-05-21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1343-09-20;Instance of TimeSpan;;Q2;;;;;;;1343-09-20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1343-09-30;Instance of TimeSpan;;Q2;;;;;;;1343-09-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1343-11-25;Instance of TimeSpan;;Q2;;;;;;;1343-11-25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1343-12-14;Instance of TimeSpan;;Q2;;;;;;;1343-12-14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1344-03-26;Instance of TimeSpan;;Q2;;;;;;;1344-03-26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1344-04-24;Instance of TimeSpan;;Q2;;;;;;;1344-04-24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1344-08-01;Instance of TimeSpan;;Q2;;;;;;;1344-08-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1344-08-03;Instance of TimeSpan;;Q2;;;;;;;1344-08-03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1344-11-05;Instance of TimeSpan;;Q2;;;;;;;1344-11-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1345-04-09;Instance of TimeSpan;;Q2;;;;;;;1345-04-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1345-12-04;Instance of TimeSpan;;Q2;;;;;;;1345-12-04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1346-09-08;Instance of TimeSpan;;Q2;;;;;;;1346-09-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1347-01-24;Instance of TimeSpan;;Q2;;;;;;;1347-01-24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1347-04-15;Instance of TimeSpan;;Q2;;;;;;;1347-04-15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1347-04-26;Instance of TimeSpan;;Q2;;;;;;;1347-04-26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1347-07-22;Instance of TimeSpan;;Q2;;;;;;;1347-07-22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1348-02-17;Instance of TimeSpan;;Q2;;;;;;;1348-02-17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1348-03-30;Instance of TimeSpan;;Q2;;;;;;;1348-03-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1348-04-17;Instance of TimeSpan;;Q2;;;;;;;1348-04-17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1348-05-29;Instance of TimeSpan;;Q2;;;;;;;1348-05-29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1349-03-01;Instance of TimeSpan;;Q2;;;;;;;1349-03-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1349-10-04;Instance of TimeSpan;;Q2;;;;;;;1349-10-04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1349-11-28;Instance of TimeSpan;;Q2;;;;;;;1349-11-28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1351-05-18;Instance of TimeSpan;;Q2;;;;;;;1351-05-18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1353-06-09;Instance of TimeSpan;;Q2;;;;;;;1353-06-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1354-12-09;Instance of TimeSpan;;Q2;;;;;;;1354-12-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1354-12-21;Instance of TimeSpan;;Q2;;;;;;;1354-12-21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1355-04-02;Instance of TimeSpan;;Q2;;;;;;;1355-04-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1355-05-02;Instance of TimeSpan;;Q2;;;;;;;1355-05-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1355-09-06;Instance of TimeSpan;;Q2;;;;;;;1355-09-06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1357-07-11;Instance of TimeSpan;;Q2;;;;;;;1357-07-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1358-06-09;Instance of TimeSpan;;Q2;;;;;;;1358-06-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1358-06-17;Instance of TimeSpan;;Q2;;;;;;;1358-06-17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1358-09-22;Instance of TimeSpan;;Q2;;;;;;;1358-09-22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1359-03-26;Instance of TimeSpan;;Q2;;;;;;;1359-03-26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1359-04-20;Instance of TimeSpan;;Q2;;;;;;;1359-04-20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1359-05-05;Instance of TimeSpan;;Q2;;;;;;;1359-05-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1359-05-10;Instance of TimeSpan;;Q2;;;;;;;1359-05-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1359-06-10;Instance of TimeSpan;;Q2;;;;;;;1359-06-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1359-06-20;Instance of TimeSpan;;Q2;;;;;;;1359-06-20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1359-06-23;Instance of TimeSpan;;Q2;;;;;;;1359-06-23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1359-06-30;Instance of TimeSpan;;Q2;;;;;;;1359-06-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1359-12-08;Instance of TimeSpan;;Q2;;;;;;;1359-12-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1359-12-12;Instance of TimeSpan;;Q2;;;;;;;1359-12-12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1359-12-30;Instance of TimeSpan;;Q2;;;;;;;1359-12-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1360-01-02;Instance of TimeSpan;;Q2;;;;;;;1360-01-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1360-01-24;Instance of TimeSpan;;Q2;;;;;;;1360-01-24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1360-03-22;Instance of TimeSpan;;Q2;;;;;;;1360-03-22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1360-05-18;Instance of TimeSpan;;Q2;;;;;;;1360-05-18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1361-08-12;Instance of TimeSpan;;Q2;;;;;;;1361-08-12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1361-11-30;Instance of TimeSpan;;Q2;;;;;;;1361-11-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1362-03-19;Instance of TimeSpan;;Q2;;;;;;;1362-03-19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1362-06-30;Instance of TimeSpan;;Q2;;;;;;;1362-06-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1362-07-17;Instance of TimeSpan;;Q2;;;;;;;1362-07-17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Within_1363-04-09;Instance of TimeSpan;;Q2;;;;;;;1363-04-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMSPO-D1;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1553;Within_1326-09-29;Sale;AMSPO-D1payment;AMSPO-D1_Properties;D1P174;D1P154|D1P103;D1P671|D1P435|D1P212|D1P122|D1P368;;;;;;;;
AMSPO-D10;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1564;Within_1328-01-12;Sale;AMSPO-D10payment;AMSPO-D10_Properties;D10P669|D10P487|D10P333|D10P672|D10P336|D10P326;D10P154|D10P103;D10P673|D10P367|D10P28|D10P613|D10P677;;;;;;;;
AMSPO-D100;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1672;Within_1354-12-21;Sale;AMSPO-D100payment;AMSPO-D100_Properties;D100P456;D100P154;D100P434|D100P71|D100P54;;;;;;;;
AMSPO-D101;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1675;Within_1355-04-02;Sale;AMSPO-D101payment;AMSPO-D101_Properties;D101P456;D101P154;D101P72|D101P396|D101P337;;;;;;;;
AMSPO-D102;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1605;Within_1355-05-02;Sale;AMSPO-D102payment;AMSPO-D102_Properties;D102P157;D102P251|D102P154;D102P164|D102P629|D102P506;;;;;;;;
AMSPO-D103;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1350;Within_1355-09-06;Sale;AMSPO-D103payment;AMSPO-D103_Properties;D103P512;D103P154;D103P139|D103P547|D103P388;;;;;;;;
AMSPO-D104;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1677;Within_1357-07-11;Sale;AMSPO-D104payment;AMSPO-D104_Properties;D104P100;D104P154;D104P229|D104P173|D104P230|D104P29|D104P24;;;;;;;;
AMSPO-D105;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1551;Within_1358-06-09;Sale;AMSPO-D105payment;AMSPO-D105_Properties;D105P142;D105P154;D105P503|D105P284|D105P111|D105P651;;;;;;;;
AMSPO-D106;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1678;Within_1358-06-17;Sale;AMSPO-D106payment;AMSPO-D106_Properties;D106P512;D106P154;D106P623|D106P569|D106P126;;;;;;;;
AMSPO-D107;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1679;Within_1358-09-22;Sale;AMSPO-D107payment;AMSPO-D107_Properties;D107P697;D107P154;D107P25|D107P114|D107P734|D107P253;;;;;;;;
AMSPO-D108;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1682;Within_1359-03-26;Sale;AMSPO-D108payment;AMSPO-D108_Properties;D108P220;D108P154;D108P42|D108P175|D108P129|D108P121;;;;;;;;
AMSPO-D109;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1681;Within_1359-04-20;Sale;AMSPO-D109payment;AMSPO-D109_Properties;D109P188;D109P154;D109P497|D109P654|D109P365;;;;;;;;
AMSPO-D11;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1561;Within_1328-02-29;Sale;AMSPO-D11payment;AMSPO-D11_Properties;D11P659|D11P696;D11P154|D11P103;D11P432|D11P496|D11P429|D11P383|D11P384;;;;;;;;
AMSPO-D110;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1684;Within_1359-05-05;Sale;AMSPO-D110payment;AMSPO-D110_Properties;D110P583;D110P154;D110P733|D110P271|D110P371|D110P210;;;;;;;;
AMSPO-D111;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1738;Within_1359-05-10;Sale;AMSPO-D111payment;AMSPO-D111_Properties;D111P100;D111P154;D111P207|D111P668;;;;;;;;
AMSPO-D112;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1661;Within_1359-06-10;Sale;AMSPO-D112payment;AMSPO-D112_Properties;D112P512;D112P154;D112P228|D112P67|D112P214|D112P264;;;;;;;;
AMSPO-D113;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1663;Within_1359-06-20;Sale;AMSPO-D113payment;AMSPO-D113_Properties;D113P717|D113P188;D113P154;D113P713|D113P283|D113P596;;;;;;;;
AMSPO-D114;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1686;Within_1359-06-23;Sale;AMSPO-D114payment;AMSPO-D114_Properties;D114P697;D114P154;D114P189|D114P231|D114P373|D114P611;;;;;;;;
AMSPO-D115;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1685;Within_1359-06-30;Sale;AMSPO-D115payment;AMSPO-D115_Properties;D115P84;D115P154;D115P580;;;;;;;;
AMSPO-D116;Instance of Purchase;;Q14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AMSPO1683;Within_1359-12-08;Sale;AMSPO-D116payment;AMSPO-D116_Properties;D116P255;D116P154;D116P372|D116P247|D116P221;;;;;;;;
